order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600519.XSHG,MainBoard,ConsumerStaples,0,2022-01-04,-1.1120991106159435,-2.335302317533426,2.445609763722915,-2.3353023175334213,2.921090003611542,2.363230655034648,-0.40717585993537014,0.7129803016686566,1.8631032838127486,0.6613780490972695,1.450245600182276,0.9473408954410812,1.0708488446758697,-0.4765041401178759,1.0204686287162075,1.4947106907477268,2.626662741720886
600519.XSHG,MainBoard,ConsumerStaples,1,2022-01-05,-0.016932322799904125,-1.895815242839995,1.9533269556363517,-1.8958152428399055,2.5468714563411483,2.1857918857642313,-0.6359248130335676,0.6546674729420069,0.8498365855987986,0.06070769644744119,1.2460502707357812,0.8317867192117522,1.059580411132544,-0.8418237220490323,1.0457722289084699,1.1764605610036587,1.9710499753217408
600519.XSHG,MainBoard,ConsumerStaples,2,2022-01-06,0.20505310953848133,-1.1980177460181811,1.1979991656305815,-1.1980177460181913,2.052478045323208,1.9699941284493359,-0.9798798545117929,0.22450880324087444,-0.1634301126151527,-0.7031677502824182,1.2141338319366917,0.9181365374836212,1.1169207927289375,-0.5866652581740478,1.058601869915123,1.0077304514885836,1.7688636507000415
600519.XSHG,MainBoard,ConsumerStaples,3,2022-01-07,0.4150393378005767,-0.49791090650356307,0.47087413657286403,-0.4979109065034933,1.4764156341855021,1.7113104248394149,-1.3644270638708809,-0.8497238474288604,-1.176696810829104,-1.3614300337424816,1.0974397636296769,1.0850796588505247,1.1164363073618742,-0.10308213491903588,1.05524000173504,1.0015330199780708,1.3170063998361285
600519.XSHG,MainBoard,ConsumerStaples,4,2022-01-10,0.3573769426942126,-0.9191239740287167,0.9047627665426653,-0.9191239740287008,1.1249640447541172,1.451867722761599,-1.3712329600338358,-1.6018657255629356,-0.1634301126151527,-0.771569659707148,1.0618676617804625,1.1407904329328455,1.1113053462892648,0.15403414374702834,1.0581267416862843,1.6166337645043705,1.4320022050285772
600519.XSHG,MainBoard,ConsumerStaples,5,2022-01-11,1.0049053791759213,-0.4721288667983008,0.4446600318455238,-0.4721288667983839,0.7363277203519092,1.1862636074147164,-1.4264810031207822,-1.44510444417837,-1.176696810829104,-1.1099876321162854,0.8255396800971794,-1.3353044824877094,1.021990814227775,0.4304089547383789,0.9462871628657573,1.017897387664846,0.7659960254890765
600519.XSHG,MainBoard,ConsumerStaples,6,2022-01-12,0.6748419840154329,-0.9364514561743564,0.9228414594580736,-0.9364514561744169,0.5509134907262159,0.9460852724031998,-1.1984944235912973,-1.0937839659351798,-0.1634301126151527,-0.4098345732278156,0.7145465529595219,-2.0064167293480235,0.9864077366588896,0.42839431260389427,0.8528586641915457,1.6371596829416333,1.0821865958331007
600519.XSHG,MainBoard,ConsumerStaples,7,2022-01-13,1.8448804732630821,0.6895500763781924,-0.69719021269167,0.6895500763782306,0.017137091980992617,0.6742132891004224,-1.4826830939113533,-1.0512771224741364,-1.176696810829104,-1.9628257134674663,1.0726663544309576,-0.5385963010818012,1.1061387283135928,0.8260206152622236,0.8168816535090055,0.9037919493733391,0.3790709308739327
600519.XSHG,MainBoard,ConsumerStaples,8,2022-01-14,2.289095416459574,0.8881778902872582,-0.8850278320827606,0.8881778902872287,-0.43558331835483194,0.38909356314272076,-1.6014718485942192,-1.7265660573487192,-1.176696810829104,-1.9385421614880112,1.1771889333067864,-0.20917039069965623,1.1323608148211373,1.1852418193852028,0.7929263844500001,0.2457745961404488,-0.19030371607983332
600519.XSHG,MainBoard,ConsumerStaples,9,2022-01-17,1.9306169555619939,0.9920930902109449,-0.9824719868968136,0.9920930902108861,-0.7976808464962845,0.1069118658115697,-1.5751273445805105,-1.6426727839446993,-2.1899635090430545,-1.8712276770579874,1.0777780816856348,-0.6591120351988574,1.1214784625627283,1.5874931987057277,0.8217235270378939,-0.46770741866118754,-0.7846544234334455
600519.XSHG,MainBoard,ConsumerStaples,10,2022-01-18,0.4909333402486872,0.408884816297387,-0.42817926211039015,0.40888481629742823,-0.9263321569407997,-0.13804994787189345,-1.2413861335517635,-1.0756904582092073,-1.176696810829104,-1.0889231947602485,1.0795619306292608,-0.7242117722954684,1.0861592909279063,1.7805537671406095,0.8080153426580827,-0.39872515296508904,-0.41980199140088986
600519.XSHG,MainBoard,ConsumerStaples,11,2022-01-19,0.49506407268321845,0.04347565910498811,-0.07148665088938753,0.04347565910495666,-0.9186186084184947,-0.33286724474442225,-0.7917532424821475,-0.5573076874208114,-0.1634301126151527,-0.5635883020456112,0.9549667350899518,-0.45030534449800613,0.9910090469539071,1.897564247471055,0.7736403865851292,-0.6122021079964224,-0.875568957644412
600519.XSHG,MainBoard,ConsumerStaples,12,2022-01-20,-1.1346947719796487,-0.9800386710003323,0.9683997656049023,-0.9800386710004143,-0.6381939902727765,-0.446834516862949,-0.06679207961274147,0.640201977587526,0.8498365855987986,0.6926642649466844,0.6374681653501549,-0.48340922667327413,0.7012436952077504,1.8826380833949214,0.6824701047316928,-0.32394523636453365,-0.6592852017116221
600519.XSHG,MainBoard,ConsumerStaples,13,2022-01-21,-0.8452974243305587,-1.245190684015754,1.248077145006274,-1.245190684015786,-0.3319713971378144,-0.4922683577358707,0.5477292869369558,1.3156822796130658,0.8498365855987986,1.1477265044274143,0.2448945587996144,-0.41433261251284714,0.4511322283703402,1.6626709829956487,0.6013378790122972,-0.14645027155425372,-0.5623753778908327
600519.XSHG,MainBoard,ConsumerStaples,14,2022-01-24,-0.5259105333425077,-0.6429913278317364,0.6191194184792119,-0.6429913278318242,-0.2297507210242991,-0.5133469098385923,0.7661169944877754,0.5968396754021867,0.8498365855987986,0.6788962680316556,0.01984443914532399,-0.6646871893111173,0.1758203910651624,1.0007897803081969,0.5080889600188306,-0.10256376124040316,-0.6509939006968156
600519.XSHG,MainBoard,ConsumerStaples,15,2022-01-25,0.5209658205106767,-0.5156692031828503,0.4889528294882681,-0.5156692031828543,-0.16735989702208262,-0.5208905225878859,0.8874811258916594,0.8161477674406262,-0.1634301126151527,0.7224382937413184,-0.4534109557182684,-1.5103346348454318,0.0037983492469724025,0.5850622524253752,0.3716790286248101,0.5515246690180603,-0.18476898165664277
600519.XSHG,MainBoard,ConsumerStaples,16,2022-01-26,0.17162305947276013,-0.7273517330126605,0.7058971444731688,-0.7273517330126668,-0.05256617670690579,-0.5097788781058353,1.0547581475353989,0.6255904047524832,0.8498365855987986,1.1618259263131456,-0.647712729377031,-1.9595618108275523,-0.2376404168866936,-0.013701237138042601,0.23149377763434276,0.3324553831587014,-0.3358899385897966
600519.XSHG,MainBoard,ConsumerStaples,17,2022-01-27,-0.5811717069120456,-0.9017788557688955,0.8866840736272569,-0.9017788557688458,0.09319247524837822,-0.47911782519548474,1.230052553512039,2.4066190855577845,1.8631032838127486,1.450468725199001,-0.4998879191194844,-1.184159634614037,-0.48313702829108124,-0.1611171532427886,-0.0038314071967936666,0.02148085229884334,0.28291306767672925
600519.XSHG,MainBoard,ConsumerStaples,18,2022-01-28,0.16858852472684002,0.5077808659638899,-0.5234539737745929,0.5077808659638934,-0.1249147795801528,-0.48716732496190646,0.8829452862872821,1.0628798651026503,1.8631032838127486,0.0077896219689737424,-0.4551566355324785,-0.6672711924920866,-0.5430345256282803,-0.40788120982458675,-0.1264809273516592,-0.6905823586402942,-0.3931376708114194
